a,a
abac·,a back
abacera,a bass era
abaceras,a bass eras
abaceria,a bass err yeah
abacerias,a bass err yeas
abacero,a bass err roe
abaceros,a bass err rose
abacial,a bass EEL
abaciales,a bass EEL is
abad,a bad
abadejo,a bad eh oh
abadejos,a bad eh owes
abadenga,a bad in gah
abadengas,a bad in gas
abadengo,a bad in go
abadengos,a bad en goes
abades,a bad is
abadesa,a bad is a
abadesas,a bad is as
abadía,a bad yea
abadías,a bad yeas
abadiato,a bad yat oh
abadiatos,a bad yat owes
bien,been
como,come oh
cuál,cool all
cuandos,coup an dose
cuantro,coup anthro
el,eel
ella,aiya
ellas,ay as
ellos,ay yos
entiende,in tend eh
entiendeís,in ten days
entiendemos,in ten day most
entienden,in tendon
entiender,in tender
entiendes,in ten days
entiendo,in ten dose
eres,err is
es,is
español,is pan yolk
esta,Est. ah
estaís,is tase
estamos,is tame OS
estan,is tanned
estar,is tar
estas,is tas
estoy,is toy
habla,a blah
hablaís,a blah is
hablamos,a blame os
hablamos,ab lame OS
hablan,a bland
hablar,ab lar
hablaron,a blah Ron
hablas,a blast
hablasta,a blast a
hablasteis,a blast ayes
hablé,ab lay
hablo,a blow
habló,a BLOW
inglés,in glaze
inglesa,in glass ah
llama,yam a
llamaís,yam ayes
llamamos,yam am OS
llaman,yam an
llamar,yam are
llamas,yam as
llamo,yam oh
mal,male
muy,moo oy
no,no
nosotras,nose oh trays
nosotros,nose outros
para,pair a
pernocta,per knock tar
pernocto,per knock to
pernos,per nose
pero,per roe
peroración,per roar a shown
peroraciones,per roar a shown is
perra,per ah
perrada,per Ada
perradas,per Adas
perras,per as
perrera,per era
perreras,per eras
perrería,per area
perrerías,per areas
perro,per row
perros,per rows
por,pour
poro,pour oh
poros,pour OS
porosa,pour OSA
porosas,pour Osas
porosidad,pour oh see dad
porosidades,pour oh see dad is
poroso,pour oh so
porosos,pour oh SOS
porque,pork cue
qué,cue
quince,queen see
sé,say
soís,soys
somos,some OS
son,son
soy,soy
tu,too
vosotras,vas oh trays
vosotros,vas outros
yo,yo
uno,un owe
dos,dose
tres,trees
cuatro,cat roe
cinco,sing Co.
seis,says
siete,see ette
ocho,ouch oh
nueve,new eve
diez,these
once,on say
doce,do say
trece,tree say
catorce,cater say
quince,queen say
dieciseís,dice I says
diecisiete,dice I see ette
dieciocho,dice I ouch oh
diecinueve,dice I new eve
veinte,vain tea
y,Ee
